Validation,Normalization,Model,Threshold,Consecutive_Hits,Early_Tol_Frac,Late_Tol_Frac,Base_T_tol_early_Frac,Base_T_tol_late_Frac,Base_T_far_early_Frac,Base_T_far_late_Frac,Score,MAE,Mean_Delta,Missed_Alerts,Tol_Early_Rate,Tol_Late_Rate,Far_Early_Rate,Far_Late_Rate
Hold-out,Z-Score,Logistic Regression,0.6,1,0.06,0.08,0.12,0.08,0.06,0.03,963.436702663363,16.21875,-15.33125,0,18.8%,6.2%,75.0%,0.0%
K-Fold (5),Z-Score,Logistic Regression,0.85,2,0.06,0.1,0.12,0.08,0.06,0.03,964.503963097719,12.16875,6.768750000000001,0,12.5%,25.0%,12.5%,50.0%
K-Fold (5),MinMax,Logistic Regression,0.85,2,0.1,0.1,0.12,0.08,0.06,0.03,965.2725494210259,12.375,6.412500000000001,0,25.0%,18.8%,6.2%,50.0%
K-Fold (5),MinMax,Logistic Regression,0.85,2,0.08,0.1,0.12,0.08,0.06,0.03,965.2725494210259,12.375,6.412500000000001,0,25.0%,18.8%,6.2%,50.0%
K-Fold (5),MinMax,Logistic Regression,0.85,2,0.06,0.1,0.12,0.08,0.06,0.03,966.3747102717664,12.375,6.412500000000001,0,18.8%,18.8%,12.5%,50.0%
K-Fold (5),Z-Score,LightGBM,0.6,2,0.1,0.12,0.12,0.08,0.06,0.03,966.5489067239596,13.60625,-6.631249999999998,0,18.8%,31.2%,37.5%,12.5%
K-Fold (5),Z-Score,LightGBM,0.6,2,0.1,0.1,0.12,0.08,0.06,0.03,966.5489067239596,13.60625,-6.631249999999998,0,18.8%,31.2%,37.5%,12.5%
K-Fold (5),Z-Score,LightGBM,0.6,2,0.08,0.12,0.12,0.08,0.06,0.03,969.8538463148648,13.60625,-6.631249999999998,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),Z-Score,LightGBM,0.6,2,0.06,0.1,0.12,0.08,0.06,0.03,969.8538463148648,13.60625,-6.631249999999998,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),Z-Score,LightGBM,0.6,2,0.08,0.1,0.12,0.08,0.06,0.03,969.8538463148648,13.60625,-6.631249999999998,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),Z-Score,LightGBM,0.6,2,0.06,0.12,0.12,0.08,0.06,0.03,969.8538463148648,13.60625,-6.631249999999998,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),Z-Score,Random Forest,0.85,2,0.06,0.08,0.12,0.08,0.06,0.03,971.3688316730342,13.66875,-4.418750000000001,0,12.5%,37.5%,37.5%,12.5%
K-Fold (5),Z-Score,Random Forest,0.85,2,0.1,0.12,0.12,0.08,0.06,0.03,971.3688316730342,13.66875,-4.418750000000001,0,12.5%,37.5%,37.5%,12.5%
K-Fold (5),Z-Score,Random Forest,0.85,2,0.1,0.08,0.12,0.08,0.06,0.03,971.3688316730342,13.66875,-4.418750000000001,0,12.5%,37.5%,37.5%,12.5%
K-Fold (5),Z-Score,Random Forest,0.85,2,0.08,0.12,0.12,0.08,0.06,0.03,971.3688316730342,13.66875,-4.418750000000001,0,12.5%,37.5%,37.5%,12.5%
K-Fold (5),Z-Score,Random Forest,0.85,2,0.1,0.1,0.12,0.08,0.06,0.03,971.3688316730342,13.66875,-4.418750000000001,0,12.5%,37.5%,37.5%,12.5%
K-Fold (5),Z-Score,Random Forest,0.85,2,0.06,0.12,0.12,0.08,0.06,0.03,971.3688316730342,13.66875,-4.418750000000001,0,12.5%,37.5%,37.5%,12.5%
K-Fold (5),Z-Score,Random Forest,0.85,2,0.08,0.1,0.12,0.08,0.06,0.03,971.3688316730342,13.66875,-4.418750000000001,0,12.5%,37.5%,37.5%,12.5%
K-Fold (5),Z-Score,Random Forest,0.85,2,0.08,0.08,0.12,0.08,0.06,0.03,971.3688316730342,13.66875,-4.418750000000001,0,12.5%,37.5%,37.5%,12.5%
K-Fold (5),Z-Score,Random Forest,0.85,2,0.06,0.1,0.12,0.08,0.06,0.03,971.3688316730342,13.66875,-4.418750000000001,0,12.5%,37.5%,37.5%,12.5%
K-Fold (5),Z-Score,Logistic Regression,0.65,7,0.08,0.08,0.12,0.08,0.06,0.03,974.5716848498752,13.2625,6.437499999999998,0,6.2%,12.5%,12.5%,68.8%
K-Fold (5),Z-Score,Logistic Regression,0.65,7,0.1,0.08,0.12,0.08,0.06,0.03,974.5716848498752,13.2625,6.437499999999998,0,6.2%,12.5%,12.5%,68.8%
K-Fold (5),Z-Score,Random Forest,0.7,2,0.1,0.08,0.12,0.08,0.06,0.03,975.1007038409252,16.19375,-10.056249999999999,0,25.0%,18.8%,43.8%,12.5%
K-Fold (5),Z-Score,Random Forest,0.7,2,0.08,0.08,0.12,0.08,0.06,0.03,975.1007038409252,16.19375,-10.056249999999999,0,25.0%,18.8%,43.8%,12.5%
K-Fold (5),Z-Score,Random Forest,0.7,2,0.06,0.1,0.12,0.08,0.06,0.03,975.1007038409252,16.19375,-10.056249999999999,0,25.0%,18.8%,43.8%,12.5%
K-Fold (5),Z-Score,Random Forest,0.7,2,0.1,0.12,0.12,0.08,0.06,0.03,975.1007038409252,16.19375,-10.056249999999999,0,25.0%,18.8%,43.8%,12.5%
K-Fold (5),Z-Score,Random Forest,0.7,2,0.08,0.1,0.12,0.08,0.06,0.03,975.1007038409252,16.19375,-10.056249999999999,0,25.0%,18.8%,43.8%,12.5%
K-Fold (5),Z-Score,Random Forest,0.7,2,0.1,0.1,0.12,0.08,0.06,0.03,975.1007038409252,16.19375,-10.056249999999999,0,25.0%,18.8%,43.8%,12.5%
K-Fold (5),Z-Score,Random Forest,0.7,2,0.06,0.12,0.12,0.08,0.06,0.03,975.1007038409252,16.19375,-10.056249999999999,0,25.0%,18.8%,43.8%,12.5%
K-Fold (5),Z-Score,Random Forest,0.7,2,0.06,0.08,0.12,0.08,0.06,0.03,975.1007038409252,16.19375,-10.056249999999999,0,25.0%,18.8%,43.8%,12.5%
K-Fold (5),Z-Score,Random Forest,0.7,2,0.08,0.12,0.12,0.08,0.06,0.03,975.1007038409252,16.19375,-10.056249999999999,0,25.0%,18.8%,43.8%,12.5%
K-Fold (5),Z-Score,Logistic Regression,0.85,2,0.1,0.08,0.12,0.08,0.06,0.03,975.2356304279401,12.16875,6.768750000000001,0,18.8%,18.8%,6.2%,56.2%
K-Fold (5),Z-Score,Logistic Regression,0.85,2,0.08,0.08,0.12,0.08,0.06,0.03,975.2356304279401,12.16875,6.768750000000001,0,18.8%,18.8%,6.2%,56.2%
K-Fold (5),Z-Score,Logistic Regression,0.85,2,0.06,0.08,0.12,0.08,0.06,0.03,976.3377912786806,12.16875,6.768750000000001,0,12.5%,18.8%,12.5%,56.2%
K-Fold (5),Z-Score,Logistic Regression,0.65,7,0.06,0.08,0.12,0.08,0.06,0.03,976.5957171613638,13.2625,6.437499999999998,0,0.0%,12.5%,18.8%,68.8%
K-Fold (5),MinMax,Logistic Regression,0.85,2,0.08,0.08,0.12,0.08,0.06,0.03,977.1063776019876,12.375,6.412500000000001,0,25.0%,12.5%,6.2%,56.2%
K-Fold (5),MinMax,Logistic Regression,0.85,2,0.1,0.08,0.12,0.08,0.06,0.03,977.1063776019876,12.375,6.412500000000001,0,25.0%,12.5%,6.2%,56.2%
K-Fold (5),MinMax,Logistic Regression,0.85,2,0.06,0.08,0.12,0.08,0.06,0.03,978.208538452728,12.375,6.412500000000001,0,18.8%,12.5%,12.5%,56.2%
K-Fold (5),Z-Score,LightGBM,0.6,2,0.1,0.08,0.12,0.08,0.06,0.03,979.5534325268513,13.60625,-6.631249999999998,0,18.8%,25.0%,37.5%,18.8%
Hold-out,MinMax,Gradient Boosting,0.75,2,0.1,0.08,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,Z-Score,Gradient Boosting,0.75,2,0.1,0.12,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,Z-Score,Gradient Boosting,0.75,2,0.1,0.1,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,Z-Score,Gradient Boosting,0.75,2,0.08,0.08,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,MinMax,Gradient Boosting,0.75,2,0.08,0.08,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,Z-Score,Gradient Boosting,0.75,2,0.08,0.1,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,MinMax,Gradient Boosting,0.75,2,0.08,0.12,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,Z-Score,Gradient Boosting,0.75,2,0.08,0.12,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,MinMax,Gradient Boosting,0.75,2,0.1,0.12,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,Z-Score,Gradient Boosting,0.75,2,0.1,0.08,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,MinMax,Gradient Boosting,0.75,2,0.1,0.1,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,MinMax,Gradient Boosting,0.75,2,0.08,0.1,0.12,0.08,0.06,0.03,981.9919353498309,8.475,-5.012499999999999,0,37.5%,25.0%,31.2%,6.2%
Hold-out,Z-Score,LightGBM,0.85,1,0.1,0.1,0.12,0.08,0.06,0.03,982.2824583895031,11.89375,-9.65625,0,43.8%,12.5%,37.5%,6.2%
Hold-out,Z-Score,LightGBM,0.85,1,0.1,0.12,0.12,0.08,0.06,0.03,982.2824583895031,11.89375,-9.65625,0,43.8%,12.5%,37.5%,6.2%
Hold-out,Z-Score,LightGBM,0.85,1,0.1,0.08,0.12,0.08,0.06,0.03,982.2824583895031,11.89375,-9.65625,0,43.8%,12.5%,37.5%,6.2%
Hold-out,Z-Score,LightGBM,0.85,1,0.06,0.08,0.12,0.08,0.06,0.03,982.2824583895031,11.89375,-9.65625,0,43.8%,12.5%,37.5%,6.2%
Hold-out,Z-Score,LightGBM,0.85,1,0.08,0.1,0.12,0.08,0.06,0.03,982.2824583895031,11.89375,-9.65625,0,43.8%,12.5%,37.5%,6.2%
Hold-out,Z-Score,LightGBM,0.85,1,0.06,0.1,0.12,0.08,0.06,0.03,982.2824583895031,11.89375,-9.65625,0,43.8%,12.5%,37.5%,6.2%
Hold-out,Z-Score,LightGBM,0.85,1,0.08,0.08,0.12,0.08,0.06,0.03,982.2824583895031,11.89375,-9.65625,0,43.8%,12.5%,37.5%,6.2%
Hold-out,Z-Score,LightGBM,0.85,1,0.08,0.12,0.12,0.08,0.06,0.03,982.2824583895031,11.89375,-9.65625,0,43.8%,12.5%,37.5%,6.2%
Hold-out,Z-Score,LightGBM,0.85,1,0.06,0.12,0.12,0.08,0.06,0.03,982.2824583895031,11.89375,-9.65625,0,43.8%,12.5%,37.5%,6.2%
K-Fold (5),Z-Score,LightGBM,0.6,2,0.06,0.08,0.12,0.08,0.06,0.03,982.8583721177564,13.60625,-6.631249999999998,0,12.5%,25.0%,43.8%,18.8%
K-Fold (5),Z-Score,LightGBM,0.6,2,0.08,0.08,0.12,0.08,0.06,0.03,982.8583721177564,13.60625,-6.631249999999998,0,12.5%,25.0%,43.8%,18.8%
Hold-out,MinMax,Gradient Boosting,0.75,2,0.06,0.08,0.12,0.08,0.06,0.03,983.1424417339184,8.475,-5.012499999999999,0,31.2%,25.0%,37.5%,6.2%
Hold-out,MinMax,Gradient Boosting,0.75,2,0.06,0.12,0.12,0.08,0.06,0.03,983.1424417339184,8.475,-5.012499999999999,0,31.2%,25.0%,37.5%,6.2%
Hold-out,Z-Score,Gradient Boosting,0.75,2,0.06,0.12,0.12,0.08,0.06,0.03,983.1424417339184,8.475,-5.012499999999999,0,31.2%,25.0%,37.5%,6.2%
Hold-out,Z-Score,Gradient Boosting,0.75,2,0.06,0.1,0.12,0.08,0.06,0.03,983.1424417339184,8.475,-5.012499999999999,0,31.2%,25.0%,37.5%,6.2%
Hold-out,MinMax,Gradient Boosting,0.75,2,0.06,0.1,0.12,0.08,0.06,0.03,983.1424417339184,8.475,-5.012499999999999,0,31.2%,25.0%,37.5%,6.2%
Hold-out,Z-Score,Gradient Boosting,0.75,2,0.06,0.08,0.12,0.08,0.06,0.03,983.1424417339184,8.475,-5.012499999999999,0,31.2%,25.0%,37.5%,6.2%
K-Fold (5),MinMax,LightGBM,0.6,2,0.06,0.1,0.12,0.08,0.06,0.03,983.3180830552809,14.106250000000001,-6.481250000000001,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),MinMax,LightGBM,0.6,2,0.1,0.1,0.12,0.08,0.06,0.03,983.3180830552809,14.106250000000001,-6.481250000000001,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),MinMax,LightGBM,0.6,2,0.1,0.12,0.12,0.08,0.06,0.03,983.3180830552809,14.106250000000001,-6.481250000000001,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),MinMax,LightGBM,0.6,2,0.08,0.1,0.12,0.08,0.06,0.03,983.3180830552809,14.106250000000001,-6.481250000000001,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),MinMax,LightGBM,0.6,2,0.08,0.12,0.12,0.08,0.06,0.03,983.3180830552809,14.106250000000001,-6.481250000000001,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),MinMax,LightGBM,0.6,2,0.06,0.12,0.12,0.08,0.06,0.03,983.3180830552809,14.106250000000001,-6.481250000000001,0,12.5%,31.2%,43.8%,12.5%
Hold-out,Z-Score,LightGBM,0.8,1,0.1,0.1,0.12,0.08,0.06,0.03,986.9516849643476,11.7125,-10.799999999999999,0,43.8%,18.8%,37.5%,0.0%
Hold-out,Z-Score,LightGBM,0.8,1,0.08,0.12,0.12,0.08,0.06,0.03,986.9516849643476,11.7125,-10.799999999999999,0,43.8%,18.8%,37.5%,0.0%
Hold-out,Z-Score,LightGBM,0.8,1,0.08,0.1,0.12,0.08,0.06,0.03,986.9516849643476,11.7125,-10.799999999999999,0,43.8%,18.8%,37.5%,0.0%
Hold-out,Z-Score,LightGBM,0.8,1,0.08,0.08,0.12,0.08,0.06,0.03,986.9516849643476,11.7125,-10.799999999999999,0,43.8%,18.8%,37.5%,0.0%
Hold-out,Z-Score,LightGBM,0.8,1,0.06,0.12,0.12,0.08,0.06,0.03,986.9516849643476,11.7125,-10.799999999999999,0,43.8%,18.8%,37.5%,0.0%
Hold-out,Z-Score,LightGBM,0.8,1,0.06,0.1,0.12,0.08,0.06,0.03,986.9516849643476,11.7125,-10.799999999999999,0,43.8%,18.8%,37.5%,0.0%
Hold-out,Z-Score,LightGBM,0.8,1,0.06,0.08,0.12,0.08,0.06,0.03,986.9516849643476,11.7125,-10.799999999999999,0,43.8%,18.8%,37.5%,0.0%
Hold-out,Z-Score,LightGBM,0.8,1,0.1,0.12,0.12,0.08,0.06,0.03,986.9516849643476,11.7125,-10.799999999999999,0,43.8%,18.8%,37.5%,0.0%
Hold-out,Z-Score,LightGBM,0.8,1,0.1,0.08,0.12,0.08,0.06,0.03,986.9516849643476,11.7125,-10.799999999999999,0,43.8%,18.8%,37.5%,0.0%
K-Fold (5),MinMax,Logistic Regression,0.65,7,0.1,0.08,0.12,0.08,0.06,0.03,992.0274982539421,12.787500000000001,5.712499999999999,0,6.2%,18.8%,12.5%,62.5%
K-Fold (5),MinMax,Logistic Regression,0.65,7,0.06,0.08,0.12,0.08,0.06,0.03,995.0354585236216,12.787500000000001,5.712499999999999,0,0.0%,18.8%,18.8%,62.5%
K-Fold (5),MinMax,Logistic Regression,0.65,7,0.08,0.08,0.12,0.08,0.06,0.03,995.0354585236216,12.787500000000001,5.712499999999999,0,0.0%,18.8%,18.8%,62.5%
K-Fold (5),MinMax,LightGBM,0.6,2,0.08,0.08,0.12,0.08,0.06,0.03,997.3274345863471,14.106250000000001,-6.481250000000001,0,12.5%,25.0%,43.8%,18.8%
K-Fold (5),MinMax,LightGBM,0.6,2,0.1,0.08,0.12,0.08,0.06,0.03,997.3274345863471,14.106250000000001,-6.481250000000001,0,12.5%,25.0%,43.8%,18.8%
K-Fold (5),MinMax,LightGBM,0.6,2,0.06,0.08,0.12,0.08,0.06,0.03,997.3274345863471,14.106250000000001,-6.481250000000001,0,12.5%,25.0%,43.8%,18.8%
Hold-out,Z-Score,Logistic Regression,0.9,1,0.1,0.1,0.12,0.08,0.06,0.03,1002.4303690183303,6.146666666666666,-1.1466666666666658,1,60.0%,20.0%,6.7%,13.3%
Hold-out,Z-Score,Logistic Regression,0.9,1,0.1,0.12,0.12,0.08,0.06,0.03,1002.4303690183303,6.146666666666666,-1.1466666666666658,1,60.0%,20.0%,6.7%,13.3%
Hold-out,Z-Score,Logistic Regression,0.9,1,0.08,0.12,0.12,0.08,0.06,0.03,1002.4303690183303,6.146666666666666,-1.1466666666666658,1,60.0%,20.0%,6.7%,13.3%
Hold-out,Z-Score,Logistic Regression,0.9,1,0.08,0.1,0.12,0.08,0.06,0.03,1002.4303690183303,6.146666666666666,-1.1466666666666658,1,60.0%,20.0%,6.7%,13.3%
Hold-out,Z-Score,Logistic Regression,0.9,1,0.06,0.12,0.12,0.08,0.06,0.03,1003.742153626941,6.146666666666666,-1.1466666666666658,1,53.3%,20.0%,13.3%,13.3%
Hold-out,Z-Score,Logistic Regression,0.9,1,0.06,0.1,0.12,0.08,0.06,0.03,1003.742153626941,6.146666666666666,-1.1466666666666658,1,53.3%,20.0%,13.3%,13.3%
K-Fold (5),Z-Score,Logistic Regression,0.75,5,0.1,0.1,0.12,0.08,0.06,0.03,1004.6338795559386,12.968750000000002,7.243750000000002,0,12.5%,25.0%,6.2%,56.2%
K-Fold (5),Z-Score,Logistic Regression,0.7,7,0.1,0.12,0.12,0.08,0.06,0.03,1006.2001433936603,13.868749999999999,7.656249999999998,0,6.2%,43.8%,12.5%,37.5%
K-Fold (5),Z-Score,Logistic Regression,0.7,7,0.08,0.12,0.12,0.08,0.06,0.03,1006.2001433936603,13.868749999999999,7.656249999999998,0,6.2%,43.8%,12.5%,37.5%
K-Fold (5),Z-Score,Logistic Regression,0.75,5,0.06,0.1,0.12,0.08,0.06,0.03,1006.9990038296371,12.968750000000002,7.243750000000002,0,6.2%,25.0%,12.5%,56.2%
K-Fold (5),Z-Score,Logistic Regression,0.75,5,0.08,0.1,0.12,0.08,0.06,0.03,1006.9990038296371,12.968750000000002,7.243750000000002,0,6.2%,25.0%,12.5%,56.2%
K-Fold (5),Z-Score,Logistic Regression,0.7,7,0.06,0.12,0.12,0.08,0.06,0.03,1007.5356365384434,13.868749999999999,7.656249999999998,0,0.0%,43.8%,18.8%,37.5%
Hold-out,Z-Score,LightGBM,0.85,2,0.08,0.1,0.12,0.08,0.06,0.03,1014.3948307909344,8.693333333333332,-2.8666666666666676,1,40.0%,26.7%,20.0%,13.3%
Hold-out,Z-Score,LightGBM,0.85,2,0.08,0.12,0.12,0.08,0.06,0.03,1014.3948307909344,8.693333333333332,-2.8666666666666676,1,40.0%,26.7%,20.0%,13.3%
Hold-out,Z-Score,LightGBM,0.85,2,0.1,0.1,0.12,0.08,0.06,0.03,1014.3948307909344,8.693333333333332,-2.8666666666666676,1,40.0%,26.7%,20.0%,13.3%
Hold-out,Z-Score,LightGBM,0.85,2,0.1,0.08,0.12,0.08,0.06,0.03,1014.3948307909344,8.693333333333332,-2.8666666666666676,1,40.0%,26.7%,20.0%,13.3%
Hold-out,Z-Score,LightGBM,0.85,2,0.08,0.08,0.12,0.08,0.06,0.03,1014.3948307909344,8.693333333333332,-2.8666666666666676,1,40.0%,26.7%,20.0%,13.3%
Hold-out,Z-Score,LightGBM,0.85,2,0.1,0.12,0.12,0.08,0.06,0.03,1014.3948307909344,8.693333333333332,-2.8666666666666676,1,40.0%,26.7%,20.0%,13.3%
Hold-out,Z-Score,LightGBM,0.85,2,0.06,0.1,0.12,0.08,0.06,0.03,1018.6090533524648,8.693333333333332,-2.8666666666666676,1,26.7%,26.7%,33.3%,13.3%
Hold-out,Z-Score,LightGBM,0.85,2,0.06,0.12,0.12,0.08,0.06,0.03,1018.6090533524648,8.693333333333332,-2.8666666666666676,1,26.7%,26.7%,33.3%,13.3%
Hold-out,Z-Score,LightGBM,0.85,2,0.06,0.08,0.12,0.08,0.06,0.03,1018.6090533524648,8.693333333333332,-2.8666666666666676,1,26.7%,26.7%,33.3%,13.3%
Hold-out,Z-Score,Logistic Regression,0.9,1,0.1,0.08,0.12,0.08,0.06,0.03,1021.7534905382522,6.146666666666666,-1.1466666666666658,1,60.0%,13.3%,6.7%,20.0%
Hold-out,Z-Score,Logistic Regression,0.9,1,0.08,0.08,0.12,0.08,0.06,0.03,1021.7534905382522,6.146666666666666,-1.1466666666666658,1,60.0%,13.3%,6.7%,20.0%
Hold-out,Z-Score,Logistic Regression,0.9,1,0.06,0.08,0.12,0.08,0.06,0.03,1023.0652751468626,6.146666666666666,-1.1466666666666658,1,53.3%,13.3%,13.3%,20.0%
Hold-out,MinMax,Logistic Regression,0.9,1,0.08,0.1,0.12,0.08,0.06,0.03,1025.0045099777828,7.286666666666667,-2.2999999999999985,1,53.3%,20.0%,13.3%,13.3%
Hold-out,MinMax,Logistic Regression,0.9,1,0.1,0.1,0.12,0.08,0.06,0.03,1025.0045099777828,7.286666666666667,-2.2999999999999985,1,53.3%,20.0%,13.3%,13.3%
Hold-out,MinMax,Logistic Regression,0.9,1,0.08,0.12,0.12,0.08,0.06,0.03,1025.0045099777828,7.286666666666667,-2.2999999999999985,1,53.3%,20.0%,13.3%,13.3%
Hold-out,MinMax,Logistic Regression,0.9,1,0.1,0.12,0.12,0.08,0.06,0.03,1025.0045099777828,7.286666666666667,-2.2999999999999985,1,53.3%,20.0%,13.3%,13.3%
Hold-out,MinMax,Logistic Regression,0.9,1,0.06,0.1,0.12,0.08,0.06,0.03,1026.3162945863935,7.286666666666667,-2.2999999999999985,1,46.7%,20.0%,20.0%,13.3%
Hold-out,MinMax,Logistic Regression,0.9,1,0.06,0.12,0.12,0.08,0.06,0.03,1026.3162945863935,7.286666666666667,-2.2999999999999985,1,46.7%,20.0%,20.0%,13.3%
K-Fold (5),Z-Score,Logistic Regression,0.75,5,0.1,0.08,0.12,0.08,0.06,0.03,1028.8261480043598,12.968750000000002,7.243750000000002,0,12.5%,18.8%,6.2%,62.5%
K-Fold (5),Z-Score,Logistic Regression,0.75,5,0.08,0.08,0.12,0.08,0.06,0.03,1031.1912722780582,12.968750000000002,7.243750000000002,0,6.2%,18.8%,12.5%,62.5%
K-Fold (5),Z-Score,Logistic Regression,0.75,5,0.06,0.08,0.12,0.08,0.06,0.03,1031.1912722780582,12.968750000000002,7.243750000000002,0,6.2%,18.8%,12.5%,62.5%
K-Fold (5),MinMax,LightGBM,0.5,2,0.1,0.1,0.12,0.08,0.06,0.03,1035.5146440034162,14.35,-7.524999999999999,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),MinMax,LightGBM,0.5,2,0.1,0.12,0.12,0.08,0.06,0.03,1035.5146440034162,14.35,-7.524999999999999,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),MinMax,LightGBM,0.5,2,0.08,0.1,0.12,0.08,0.06,0.03,1035.5146440034162,14.35,-7.524999999999999,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),MinMax,LightGBM,0.5,2,0.08,0.12,0.12,0.08,0.06,0.03,1035.5146440034162,14.35,-7.524999999999999,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),MinMax,LightGBM,0.5,2,0.06,0.12,0.12,0.08,0.06,0.03,1035.5146440034162,14.35,-7.524999999999999,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),MinMax,LightGBM,0.5,2,0.06,0.1,0.12,0.08,0.06,0.03,1035.5146440034162,14.35,-7.524999999999999,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),Z-Score,LightGBM,0.5,2,0.1,0.1,0.12,0.08,0.06,0.03,1035.7128853373829,14.356250000000001,-7.53125,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),Z-Score,LightGBM,0.5,2,0.06,0.1,0.12,0.08,0.06,0.03,1035.7128853373829,14.356250000000001,-7.53125,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),Z-Score,LightGBM,0.5,2,0.06,0.12,0.12,0.08,0.06,0.03,1035.7128853373829,14.356250000000001,-7.53125,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),Z-Score,LightGBM,0.5,2,0.08,0.1,0.12,0.08,0.06,0.03,1035.7128853373829,14.356250000000001,-7.53125,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),Z-Score,LightGBM,0.5,2,0.08,0.12,0.12,0.08,0.06,0.03,1035.7128853373829,14.356250000000001,-7.53125,0,18.8%,25.0%,43.8%,12.5%
K-Fold (5),Z-Score,LightGBM,0.5,2,0.1,0.12,0.12,0.08,0.06,0.03,1035.7128853373829,14.356250000000001,-7.53125,0,18.8%,25.0%,43.8%,12.5%
Hold-out,MinMax,Logistic Regression,0.9,1,0.08,0.08,0.12,0.08,0.06,0.03,1044.3276314977047,7.286666666666667,-2.2999999999999985,1,53.3%,13.3%,13.3%,20.0%
Hold-out,MinMax,Logistic Regression,0.9,1,0.1,0.08,0.12,0.08,0.06,0.03,1044.3276314977047,7.286666666666667,-2.2999999999999985,1,53.3%,13.3%,13.3%,20.0%
Hold-out,MinMax,Logistic Regression,0.9,1,0.06,0.08,0.12,0.08,0.06,0.03,1045.6394161063151,7.286666666666667,-2.2999999999999985,1,46.7%,13.3%,20.0%,20.0%
K-Fold (5),MinMax,LightGBM,0.5,2,0.1,0.08,0.12,0.08,0.06,0.03,1048.519169806308,14.35,-7.524999999999999,0,18.8%,18.8%,43.8%,18.8%
K-Fold (5),MinMax,LightGBM,0.5,2,0.06,0.08,0.12,0.08,0.06,0.03,1048.519169806308,14.35,-7.524999999999999,0,18.8%,18.8%,43.8%,18.8%
K-Fold (5),MinMax,LightGBM,0.5,2,0.08,0.08,0.12,0.08,0.06,0.03,1048.519169806308,14.35,-7.524999999999999,0,18.8%,18.8%,43.8%,18.8%
K-Fold (5),Z-Score,LightGBM,0.5,2,0.1,0.08,0.12,0.08,0.06,0.03,1048.7174111402746,14.356250000000001,-7.53125,0,18.8%,18.8%,43.8%,18.8%
K-Fold (5),Z-Score,LightGBM,0.5,2,0.06,0.08,0.12,0.08,0.06,0.03,1048.7174111402746,14.356250000000001,-7.53125,0,18.8%,18.8%,43.8%,18.8%
K-Fold (5),Z-Score,LightGBM,0.5,2,0.08,0.08,0.12,0.08,0.06,0.03,1048.7174111402746,14.356250000000001,-7.53125,0,18.8%,18.8%,43.8%,18.8%
K-Fold (5),MinMax,Random Forest,0.85,2,0.06,0.08,0.12,0.08,0.06,0.03,1051.1797045132935,15.018749999999999,-6.93125,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),MinMax,Random Forest,0.85,2,0.1,0.12,0.12,0.08,0.06,0.03,1051.1797045132935,15.018749999999999,-6.93125,0,12.5%,31.2%,43.8%,12.5%
K-Fold (5),MinMax,Random Forest,0.85,2,0.06,0.12,0.12,0.08,0.06,0.03,1051.1797045132935,15.018749999999999,-6.93125,0,12.5%,31.2%,43.8%,12.5%
