Validation,Normalization,Model,Threshold,Consecutive_Hits,Early_Tol_Frac,Late_Tol_Frac,Base_T_tol_early_Frac,Base_T_tol_late_Frac,Base_T_far_early_Frac,Base_T_far_late_Frac,Score,MAE,Mean_Delta,Missed_Alerts,Tol_Early_Rate,Tol_Late_Rate,Far_Early_Rate,Far_Late_Rate
Hold-out,Z-Score,Gradient Boosting,0.7,3,0.1,0.08,0.12,0.08,0.06,0.03,154.13723662416328,8.531250000000002,-6.06875,0,31.2%,31.2%,37.5%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.7,3,0.1,0.1,0.12,0.08,0.06,0.03,154.13723662416328,8.531250000000002,-6.06875,0,31.2%,31.2%,37.5%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,3,0.08,0.08,0.12,0.08,0.06,0.03,154.13723662416328,8.531250000000002,-6.06875,0,31.2%,31.2%,37.5%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,3,0.1,0.12,0.12,0.08,0.06,0.03,154.13723662416328,8.531250000000002,-6.06875,0,31.2%,31.2%,37.5%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.7,3,0.1,0.12,0.12,0.08,0.06,0.03,154.13723662416328,8.531250000000002,-6.06875,0,31.2%,31.2%,37.5%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,3,0.1,0.1,0.12,0.08,0.06,0.03,154.13723662416328,8.531250000000002,-6.06875,0,31.2%,31.2%,37.5%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,3,0.1,0.08,0.12,0.08,0.06,0.03,154.13723662416328,8.531250000000002,-6.06875,0,31.2%,31.2%,37.5%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,3,0.08,0.1,0.12,0.08,0.06,0.03,154.13723662416328,8.531250000000002,-6.06875,0,31.2%,31.2%,37.5%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,3,0.08,0.12,0.12,0.08,0.06,0.03,154.13723662416328,8.531250000000002,-6.06875,0,31.2%,31.2%,37.5%,0.0%
K-Fold (5),Z-Score,Logistic Regression,0.7,2,0.1,0.12,0.12,0.08,0.06,0.03,163.21691823330332,10.474999999999998,1.4624999999999977,0,25.0%,56.2%,12.5%,6.2%
K-Fold (5),MinMax,Logistic Regression,0.7,2,0.1,0.12,0.12,0.08,0.06,0.03,164.44502450432446,10.718749999999998,1.5312499999999982,0,25.0%,56.2%,12.5%,6.2%
K-Fold (5),Z-Score,Logistic Regression,0.7,2,0.08,0.12,0.12,0.08,0.06,0.03,165.7945210332057,10.474999999999998,1.4624999999999977,0,18.8%,56.2%,18.8%,6.2%
K-Fold (5),Z-Score,Logistic Regression,0.7,2,0.06,0.12,0.12,0.08,0.06,0.03,167.45315129723474,10.474999999999998,1.4624999999999977,0,12.5%,56.2%,25.0%,6.2%
K-Fold (5),MinMax,Logistic Regression,0.7,2,0.08,0.12,0.12,0.08,0.06,0.03,169.41332493889166,10.718749999999998,1.5312499999999982,0,12.5%,56.2%,25.0%,6.2%
K-Fold (5),MinMax,Logistic Regression,0.7,2,0.06,0.12,0.12,0.08,0.06,0.03,169.41332493889166,10.718749999999998,1.5312499999999982,0,12.5%,56.2%,25.0%,6.2%
K-Fold (5),Z-Score,Logistic Regression,0.65,2,0.1,0.12,0.12,0.08,0.06,0.03,172.04527243371305,10.812499999999998,0.7499999999999991,0,25.0%,56.2%,12.5%,6.2%
K-Fold (5),MinMax,Logistic Regression,0.6,2,0.1,0.12,0.12,0.08,0.06,0.03,172.7196228297204,10.525,-0.3875000000000002,0,25.0%,50.0%,18.8%,6.2%
K-Fold (5),Z-Score,Logistic Regression,0.6,2,0.1,0.12,0.12,0.08,0.06,0.03,172.81643468035742,10.625,-0.32499999999999973,0,18.8%,56.2%,18.8%,6.2%
K-Fold (5),MinMax,Logistic Regression,0.6,2,0.08,0.12,0.12,0.08,0.06,0.03,175.1103204643852,10.525,-0.3875000000000002,0,18.8%,50.0%,25.0%,6.2%
K-Fold (5),Z-Score,Logistic Regression,0.6,2,0.08,0.12,0.12,0.08,0.06,0.03,175.20713231502222,10.625,-0.32499999999999973,0,12.5%,56.2%,25.0%,6.2%
K-Fold (5),MinMax,Logistic Regression,0.6,2,0.06,0.12,0.12,0.08,0.06,0.03,176.7149273652927,10.525,-0.3875000000000002,0,12.5%,50.0%,31.2%,6.2%
